WKT,GEOID,week_ending,biweekly_average_pm_pred,biweekly_average_pm_var,biweekly_average_o3_pred,biweekly_average_o3_var
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/01/12,10.1873183629496,9.12810610816652,24.7502835782424,21.5996168080468
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/01/12,10.3952611051135,9.20308288897208,22.5444414648767,8.42599620585605
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/01/12,10.3502314957144,9.17748568932495,22.0238562976126,4.74946415507017
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/01/12,10.147105345843,9.11226889064442,24.8962004833994,21.8874599164317
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/01/12,10.0518920143325,9.09801980654808,26.1999260723768,26.9248200993515
"POINT (-765696.909156819 1896944.11740915)",08031000303,2014/01/12,10.1357533026047,9.10187652147396,24.670246814738,21.4521662972486
"POINT (-764415.203035787 1897831.78048707)",08031000401,2014/01/12,10.2720333324091,9.14164565020731,22.8466287416092,10.5054017077753
"POINT (-764473.464326395 1896726.85312604)",08031000402,2014/01/12,10.2177169952748,9.12335141317165,23.7240434398518,16.3152066602106
"POINT (-766976.98717412 1895598.70605012)",08031000501,2014/01/12,9.97837077587827,9.08955469168534,27.1458944403998,31.3847275026518
"POINT (-765808.689981512 1895667.02167065)",08031000502,2014/01/12,10.0693082373342,9.09091372328841,25.7277267544472,27.1882482543239
"POINT (-764716.51914043 1895519.53504791)",08031000600,2014/01/12,10.1445235664177,9.10731508405142,25.0093367427752,24.2138553752349
"POINT (-767128.734030772 1894318.82747781)",08031000701,2014/01/12,9.90835802590125,9.0930673228356,28.2388892219485,36.474757545706
"POINT (-765934.097210092 1894331.18906867)",08031000702,2014/01/12,9.99869589583216,9.08991377665809,26.9933534715327,33.8153611897871
"POINT (-765047.301229738 1893711.59353466)",08031000800,2014/01/12,10.0366647939318,9.10232549932418,27.2378931242177,34.7690749463328
"POINT (-767377.346766328 1891990.9758612)",08031000902,2014/01/12,9.78201428265182,9.12495738646593,30.1496016388208,45.1598561026827
