var1.pred,var1.var,observed,residual,zscore,fold,coords.x1,coords.x2,week_ending
9.758743045063119,9.069098833326843,13.5,3.7412569549368815,1.2423257006763229,1,-757025.9611524006,1903105.1372714953,2014-01-12
8.498071842043405,9.226949463815192,9.816666666666666,1.3185948246232613,0.4340925134315789,2,-766311.6382745274,1879040.326008466,2014-01-12
10.497784309561041,9.641699237825366,12.666666666666668,2.168882357105627,0.6984884127232869,3,-767198.6179214683,1942180.4777782091,2014-01-12
10.600967666255533,11.10960465575711,8.5,-2.100967666255533,-0.6303330319108046,4,-782420.9497166229,1927504.9481515924,2014-01-12
9.89158840052643,8.984755710134337,8.2125,-1.67908840052643,-0.5601707459712539,5,-762056.0600764392,1895159.0578628443,2014-01-12
9.603415683776545,8.968990496778154,11.433333333333334,1.8299176495567888,0.6110261034692759,6,-763239.9700491212,1898457.655627201,2014-01-12
9.004887802951005,9.007223116450337,13.250000000000002,4.2451121970489964,1.4144699083636028,7,-764597.4012900228,1893260.205027535,2014-01-12
8.797091651790986,9.714845985532719,4.95,-3.8470916517909854,-1.2342825041973216,8,-771363.9500667664,1871652.3524933874,2014-01-12
9.628959483350561,11.624526775536918,2.15,-7.478959483350561,-2.193580311208369,9,-745868.8854113646,1846566.956502921,2014-01-12
4.029157086222728,13.513884933262075,5.866666666666667,1.837509580443939,0.4998497782048202,10,-757998.5164247212,1793109.2823624632,2014-01-12
11.641122195899893,28.14008509878815,3.12843125,-8.512690945899893,-1.6047380981733808,11,-1022914.5420432015,1888816.2748672932,2014-01-12
1.7255155548873509,18.76815743177182,1.4500000000000002,-0.2755155548873507,-0.06359680590580656,12,-1020759.4576988224,1628612.7672778761,2014-01-12
2.03249734081055,13.995610588196964,1.75,-0.2824973408105498,-0.07551242875378336,13,-1042334.2668231912,1627432.094682159,2014-01-12
12.49606779352045,16.270480447765042,8.283333333333335,-4.212734460187114,-1.0443928659973296,14,-761073.5930556873,1987363.5175071312,2014-01-12
4.390942883060032,32.71203639825721,14.05,9.65905711693997,1.6888105906526671,15,-1073694.327079326,1853122.8679138906,2014-01-12
6.532322552444221,42.77628501745304,5.45,-1.0823225524442206,-0.16548368208415254,16,-1101719.1637183726,1663080.6120445235,2014-01-12
2.5566368371669013,39.1783009892952,5.9,3.343363162833099,0.5341469512241848,17,-744016.031891973,1727449.5663826556,2014-01-12
5.823607026325583,82.74252278198684,8.214955366071429,2.3913483397458464,0.26289266190068444,18,-1075355.558845615,1969029.0688920591,2014-01-12
12.172394412153528,14.438610599501589,11.2,-0.9723944121535286,-0.25590557812527026,19,-731520.3669870156,1966992.3877918236,2014-01-12
11.4290204033035,10.224095392902973,12.483333333333334,1.054312930029834,0.32972895505656646,20,-743466.6459182348,1944978.5298480187,2014-01-12
5.620758360799068,1.7513623987357074,7.2749999999999995,1.6542416392009311,1.2500026614318644,1,-757025.9611524006,1903105.1372714953,2014-01-26
5.621382910015719,1.7813253272574119,5.425,-0.1963829100157195,-0.14714044654898226,2,-766311.6382745274,1879040.326008466,2014-01-26
5.881904759177667,1.8733802968334448,7.1,1.2180952408223327,0.8899554608138676,3,-767198.6179214683,1942180.4777782091,2014-01-26
6.283263703298856,2.112392392925375,6.95,0.6667362967011439,0.4587402015519615,4,-782420.9497166229,1927504.9481515924,2014-01-26
5.986708362167131,1.728973743551042,4.807142857142857,-1.1795655050242742,-0.8970731633591371,5,-762056.0600764392,1895159.0578628443,2014-01-26
5.900306840607237,1.7258813177697268,6.025,0.1246931593927636,0.09491550551791146,6,-763239.9700491212,1898457.655627201,2014-01-26
5.637292023117437,1.731258656150941,7.3500000000000005,1.7127079768825633,1.3016743335964784,7,-764597.4012900228,1893260.205027535,2014-01-26
5.71505658606114,1.8864370485840256,4.625,-1.0900565860611398,-0.7936479241743604,8,-771363.9500667664,1871652.3524933874,2014-01-26
5.289152404660632,2.273483659100678,3,-2.2891524046606317,-1.5181993078971785,9,-745868.8854113646,1846566.956502921,2014-01-26
3.3993195325107104,2.8815971642765503,4.825,1.4256804674892898,0.8398574239945324,10,-757998.5164247212,1793109.2823624632,2014-01-26
10.581328381597725,4.564220906046715,3.1385100476190475,-7.4428183339786775,-3.4838070269880053,11,-1022914.5420432015,1888816.2748672932,2014-01-26
4.329067809444891,3.206042478453376,3.4000000000000004,-0.9290678094448905,-0.5188750361955679,12,-1020759.4576988224,1628612.7672778761,2014-01-26
4.8422075671327365,2.6273806582004178,3.9000000000000004,-0.9422075671327361,-0.581279609309733,13,-1042334.2668231912,1627432.094682159,2014-01-26
5.49522745229412,2.903302556412784,4.7,-0.7952274522941201,-0.4667079682689135,14,-761073.5930556873,1987363.5175071312,2014-01-26
