GEOID,total_crimes,total_violent,total_property,avg_total_crimes,avg_violent_crimes,avg_property_crimes,pop,crime_rate,violent_rate,property_rate
19850101,22426,NA,22426,0.9794296196008211,NA,0.9794296196008211,-6,NA,NA,NA
19920101,1048,NA,1048,0.0457701882342665,NA,0.0457701882342665,-6,NA,NA,NA
19950801,1342,NA,1342,0.05861029829235271,NA,0.05861029829235271,1,58.61029829235271,NA,58.61029829235271
19960501,3,NA,3,1.3102153120496136e-4,NA,1.3102153120496136e-4,-6,NA,NA,NA
19970101,235454,NA,235454,10.283181202777657,NA,10.283181202777657,774629.4807692308,0.01327496752714103,NA,0.01327496752714103
19970501,198,NA,198,0.00864742105952745,NA,0.00864742105952745,-6,NA,NA,NA
19970601,272,NA,272,0.011879285495916495,NA,0.011879285495916495,1,11.879285495916495,NA,11.879285495916495
19970801,1768,NA,1768,0.07721535572345722,NA,0.07721535572345722,1,77.21535572345722,NA,77.21535572345722
19971201,259,NA,259,0.011311525527361662,NA,0.011311525527361662,-6,NA,NA,NA
19980101,26,NA,26,0.001135519937109665,NA,0.001135519937109665,-6,NA,NA,NA
19980604,9,NA,9,3.9306459361488407e-4,NA,3.9306459361488407e-4,-6,NA,NA,NA
19981001,967,NA,967,0.04223260689173254,NA,0.04223260689173254,-6,NA,NA,NA
19981101,228,NA,228,0.009957636371577063,NA,0.009957636371577063,-6,NA,NA,NA
19990101,123,NA,123,0.005371882779403416,NA,0.005371882779403416,-6,NA,NA,NA
20000101,20,NA,20,8.734768746997423e-4,NA,8.734768746997423e-4,1,0.8734768746997423,NA,0.8734768746997423
20000108,27,NA,27,0.0011791937808446522,NA,0.0011791937808446522,-6,NA,NA,NA
20000401,35,NA,35,0.001528584530724549,NA,0.001528584530724549,-6,NA,NA,NA
20010101,1010,NA,1010,0.04411058217233699,NA,0.04411058217233699,-6,NA,NA,NA
20020101,3287,NA,3287,0.14355592435690265,NA,0.14355592435690265,6706997.5,2.1403903066447043e-5,NA,2.1403903066447043e-5
20030101,196,NA,196,0.008560073372057475,NA,0.008560073372057475,-6,NA,NA,NA
20030118,75,NA,75,0.003275538280124034,NA,0.003275538280124034,-6,NA,NA,NA
20030401,518,NA,518,0.022623051054723325,NA,0.022623051054723325,-6,NA,NA,NA
20040101,23868,NA,23868,1.0424073022666724,NA,1.0424073022666724,-1.3333333333333333,NA,NA,NA
20040105,107,NA,107,0.0046731012796436214,NA,0.0046731012796436214,-6,NA,NA,NA
20040901,2932,NA,2932,0.1280517098309822,NA,0.1280517098309822,-6,NA,NA,NA
20041001,8,NA,8,3.4939074987989693e-4,NA,3.4939074987989693e-4,-6,NA,NA,NA
20050101,47757,NA,47757,2.08573175525178,NA,2.08573175525178,-4.25,NA,NA,NA
20060101,50708,NA,50708,2.2146132681137267,NA,2.2146132681137267,-4,NA,NA,NA
20090101,47784,NA,47784,2.0869109490326245,NA,2.0869109490326245,-6,NA,NA,NA
20090201,198,NA,198,0.00864742105952745,NA,0.00864742105952745,-6,NA,NA,NA
20090301,16,NA,16,6.987814997597939e-4,NA,6.987814997597939e-4,-6,NA,NA,NA
20090701,91,NA,91,0.003974319779883827,NA,0.003974319779883827,-6,NA,NA,NA
20100101,24308,NA,24308,1.0616237935100667,NA,1.0616237935100667,-6,NA,NA,NA
20110101,4575,NA,4575,0.19980783508756605,NA,0.19980783508756605,-6,NA,NA,NA
