week_ending,monitor_n,monitor_min,monitor_max,monitor_mean,model,modeled_min,modeled_max,modeled_mean,mean_error,me_mean,msne,rmse,cor_obs_pred,cor_pred_res
2014-01-12,20,1.4500000000000002,14.05,8.112794330803572,Mat,8.59142879290088,11.833852907800289,10.255429045394692,0.05725,0.007057,0.9487,4.043,0.4186,-0.4198
2014-01-26,20,3,13.600000000000001,5.713071336309524,Mat,5.360122062575987,6.419320611474828,5.961738650170044,0.1119,0.01958,2.103,2.967,-0.199,-0.6076
2014-02-09,19,2.35,21.975,12.444647848997494,Ste,8.234020781130862,18.321120063537503,14.923672822451566,-0.03585,-0.002881,1.666,6.868,-0.5692,-0.6192
2014-02-23,20,1.6,18.31666666666667,8.316504404166666,Gau,7.0845212238145825,14.281802059048387,11.345837640505229,-0.1545,-0.01858,0.6676,4.485,0.527,0.1818
2014-03-09,20,1.4722104285714286,12.25,7.2951234410714285,Cir,7.889621279575314,11.259418881543546,9.873393070040626,-0.1174,-0.0161,3.493,3.351,0.1557,-0.1281
2014-03-23,20,1.7000000000000002,6.324702321428571,3.3108283732142856,Gau,3.0265033836364954,4.516741027567571,3.7931166847667317,-0.03114,-0.009405,1.694,1.156,-0.01375,-0.2064
2014-04-06,20,2.818122842857143,7.966666666666667,5.041839523095238,Mat,4.862105663822975,7.0362478279314224,5.520931214106496,-0.007019,-0.001392,1.695,1.358,-0.4447,-0.508
2014-04-20,20,2.4000000000000004,6.625,4.5495257815476196,Ste,4.664239869843405,6.546679352606015,5.15625401193463,-0.01544,-0.003395,1.223,1.077,-0.04988,-0.212
2014-05-04,17,2.85,5.875,4.1521268767507005,Ste,3.7342419698809937,5.804125180022643,4.4714225845285736,-0.01539,-0.003706,0.5497,0.7249,0.07705,-0.102
2014-05-18,20,3.1500000000000004,8.742473375,5.035283606845239,Lin,4.275758429165351,6.081195187773707,5.256959848060109,-1.204e-4,-2.391e-5,2.094,1.365,-0.1566,-0.329
2014-06-01,18,3.8500000000000005,9.14911775,5.761745515211641,Mat,5.553960572413792,6.971791747378605,6.284846950370227,0.1985,0.03446,1.146,1.504,0.1859,-0.3478
2014-06-15,20,4.5,8.925,6.246236405238095,Ste,6.748671281508992,7.956625949912748,7.347423192598831,-0.03339,-0.005345,1.106,1.2,0.4193,0.1307
2014-06-29,20,4.225,9.05,6.408640875595238,Mat,5.78609338212293,7.756076614867475,6.8947124120184275,-0.06442,-0.01005,1.05,1.244,0.2155,-0.1686
2014-07-13,20,4.1,12.175,8.180394238690477,Lin,9.056471433139029,10.70016411480509,9.91308056914571,-0.04474,-0.005469,1.206,2.36,0.3965,0.2319
2014-07-27,20,3.1,11.571975107142858,7.700731695833333,Gau,8.347802770625652,10.457037158128584,9.122089534092531,-0.07053,-0.009158,3.552,2.146,0.1427,-0.1286
2014-08-10,20,4.449999999999999,9.475392671428573,6.051977497296919,Ste,6.487587120084379,7.412455543308277,6.963118733125835,0.06612,0.01093,0.6652,1.381,0.08611,-0.3898
2014-08-24,20,1.9500000000000002,8.980965357142857,5.282394827380952,Ste,5.32485423937895,7.824913692369951,6.714625174726052,-0.06704,-0.01269,0.8055,1.518,0.4547,-0.09334
2014-09-07,20,3.15,9.140929107142856,5.1633956625,Gau,5.603475280509723,7.962123377549129,6.2304951765075565,-0.048280000000000003,-0.00935,1.616,1.382,0.3142,0.05143
2014-09-21,20,3.175,8.283333333333333,4.937862259304511,Mat,5.378903913218912,7.706956188356896,6.280039163389901,-0.05258,-0.01065,0.8942,1.284,0.4315,0.08595
2014-10-05,20,2.35,7.7,4.704111289285715,Mat,5.040206600284488,7.37300372042147,6.3195676827811464,-0.08181,-0.01739,0.745,1.263,0.6503,0.1522
2014-10-19,20,2.7,8.658333333333333,5.0896622732142855,Ste,5.537191062453717,7.093479621388617,6.386220747396901,-0.06084,-0.01195,0.5857,1.23,0.6055,0.2127
2014-11-02,20,2.9062641904761906,10.441666666666666,6.368810230952381,Lin,6.350746045952832,9.797463564576656,8.264272884819471,-0.08893,-0.01396,0.7483,1.948,0.5407,0.1037
2014-11-16,20,1.5,12.075000000000001,6.113207211904762,Ste,7.165203339217811,9.352046368644562,8.05020819958244,-0.006691,-0.001094,1.021,2.467,-0.5844,-0.6304
2014-11-30,20,1.1,8.25,5.077515259404762,Mat,4.836535025360952,7.872890889488054,6.330807509018737,0.09326,0.01837,0.8391,2.156,0.3686,-0.2556
2014-12-14,20,3.125,18.041666666666668,9.846482363003664,Mat,11.928121661350882,16.23547464712355,14.03937825588952,0.09868,0.01002,1.118,3.656,0.6187,-0.3401
2014-12-28,20,2,12.975000000000001,6.600374205952381,Lin,7.303004922550181,11.39246040849335,9.676375765925485,-0.1309,-0.01983,0.888,2.591,0.5018,0.01554
