WKT,TRI_FACILITY_ID,FACILITY_NAME,CLASSIFICATION,total_ppy,total_tpy
"POINT (-653942.967007418 1884373.11523812)",80105SFTYK10855,CLEAN HARBORS DEER TRAIL LLC,Dioxin,0.006834762924,3.417381462e-006
"POINT (-653942.967007418 1884373.11523812)",80105SFTYK10855,CLEAN HARBORS DEER TRAIL LLC,PBT,5550.1038654512,2.7750519327256
"POINT (-653942.967007418 1884373.11523812)",80105SFTYK10855,CLEAN HARBORS DEER TRAIL LLC,TRI,19668.6780666396,9.83433903331979
"POINT (-764532.29658572 1883150.78048581)",80110BRDNN1325W,SOUTHERN FOODS GROUP LLC D/B/A MEADOW GOLD DAIRIES,TRI,2.20462,0.00110231
"POINT (-765138.128027966 1885854.07548413)",80110CCLLN281SV,NATIONAL WIRE & STAMPING INC DBA ACCELLENT,TRI,1.8869563042,0.0009434781521
"POINT (-765853.805031514 1883261.04119173)",80110KLPPN2627W,KLOPPENBERG & CO,TRI,0.0786167492,3.93083746e-005
"POINT (-766597.574854058 1884277.46994724)",80110KLYTB3211W,OAKLEY INDUSTRIES,TRI,0.0110231,5.51155e-006
"POINT (-764596.842216871 1886005.22326437)",80110MRCNS1600W,AMERICAN STAINLESS STEEL CORP,TRI,0,0
"POINT (-764232.526849786 1883844.1986064)",80110STLLM373SK,STOLLE MACHINERYCO ENGLEWOOD,TRI,1.099443994,0.000549721997
"POINT (-764748.733571903 1885692.09147857)",80110WHTCP288SR,HD SUPPLY CONSTRUCTION SUPPLY LTD. (CO019-6141),TRI,0,0
"POINT (-750925.849003945 1872763.26622876)",80112GGRGT8339C,AGGREGATE INDUSTRIES WCR INC CENTENNIAL READY MIX PLANT,PBT,0.000881848,4.40924e-007
"POINT (-750925.849003945 1872763.26622876)",80112GGRGT8339C,AGGREGATE INDUSTRIES WCR INC CENTENNIAL READY MIX PLANT,TRI,0,0
"POINT (-750504.954707554 1875985.78978193)",80112STLLM6949S,STOLLE MACHINERYCO CENTENNIAL,TRI,0.643308116,0.000321654058
"POINT (-753468.964813774 1871665.8046091)",8011WGHLTH1139E,VITAL SIGNS INC,TRI,0.063493056,3.1746528e-005
"POINT (-726244.037362262 1846883.25948237)",8011WLYNNL7915C,LAYNE INLINER LLC,TRI,25.643257992,0.012821628996
"POINT (-764943.160030915 1885802.88579044)",8011WSFTYK281SU,SAFETY-KLEEN SYSTEMS ENGLEWOOD (ECO),PBT,0,0
"POINT (-764943.160030915 1885802.88579044)",8011WSFTYK281SU,SAFETY-KLEEN SYSTEMS ENGLEWOOD (ECO),TRI,6.0354558968,0.0030177279484
"POINT (-765347.52037918 1874915.30447097)",80120NCRCT8192S,UNICIRCUIT INC,PBT,1.3944662424,0.0006972331212
"POINT (-768560.748057628 1874275.65835963)",80125BRLBS8227B,BEST BLOCK DENB,PBT,4.53710796e-005,2.26855398e-008
"POINT (-768554.145902553 1872874.5842996)",80125GRCMM8101W,UOP LLC LITTLETON MEMBRANES,TRI,45.56398385,0.022781991925
"POINT (-769003.564549333 1874385.469168)",80125LDCST8392R,OLDCASTLE PRECAST INC,PBT,2.314851e-005,1.1574255e-008
"POINT (-768962.580502115 1874348.90922459)",80125WSTLN8382W,OLDCASTLE PRECAST,PBT,4.188778e-006,2.094389e-009
"POINT (-774929.46283923 1867699.81406058)",80127MRTNM12257,LOCKHEED MARTIN SPACE SYSTEMS CO,PBT,20.633331573998,0.010316665786999
"POINT (-774929.46283923 1867699.81406058)",80127MRTNM12257,LOCKHEED MARTIN SPACE SYSTEMS CO,TRI,0.7930899988,0.0003965449994
"POINT (-774943.777287935 1875853.23991575)",80127SSCRC10570,VIASYSTEMS TECHNOLOGIES CORPLLC,PBT,0.0792781352,3.96390676e-005
