var1.pred,var1.var,observed,residual,zscore,fold,coords.x1,coords.x2,week_ending
37.93510907746213,54.85045568360955,40.19642857142857,2.2613194939664396,0.30533163737178726,1,-727824.887142112,1879308.9304132264,2014-01-12
39.311727586490754,40.63179312245224,38.03571428571429,-1.2760133007764622,-0.200180701605926,2,-781017.184972822,1920175.685619658,2014-01-12
37.67355799637004,54.85045568360955,48.175,10.501442003629954,1.4179431479224593,3,-819135.0164491035,1882283.9491301454,2014-01-12
38.55210737529353,54.85045568360955,21.375,-17.17710737529353,-2.3193159278037045,4,-763239.9700491212,1898457.655627201,2014-01-12
38.03872264360649,54.85045568360955,37.03571428571429,-1.0030083578921989,-0.13542986076489277,5,-771363.9500667664,1871652.3524933874,2014-01-12
38.0112094367772,54.85045568360955,37.875,-0.1362094367772002,-0.018391496852893933,6,-755881.2539444161,1805331.5072019023,2014-01-12
37.947402212428415,54.85045568360955,39.82142857142857,1.8740263590001547,0.25303790030472273,7,-764171.0228483846,1794258.958181908,2014-01-12
38.240681289481095,54.85045568360955,30.875,-7.3656812894810955,-0.994541255438086,8,-1001000.3033597687,1897776.7007326712,2014-01-12
37.668439239640534,54.838673476713076,47.64285714285714,9.974417903216604,1.3469270960875765,9,-968389.7566848311,1880705.674906776,2014-01-12
38.015307148432626,54.85045568360955,37.75,-0.26530714843262615,-0.03582274254191512,10,-1022914.5420432015,1888816.2748672932,2014-01-12
38.2855031381709,54.838673476713076,30.410714285714285,-7.874788852456618,-1.063397040735749,11,-955911.075377625,1877690.4144056742,2014-01-12
37.78934762000481,54.85045568360955,44.642857142857146,6.853509522852335,0.9253859483098305,12,-941067.9368807191,1824477.5017620744,2014-01-12
37.97198848236097,54.85045568360955,39.07142857142857,1.099440089067599,0.14845042617059565,13,-859725.4425687892,2032465.5145876294,2014-01-12
38.252285461431086,54.52434972675029,33.30357142857143,-4.948714032859655,-0.6701887154231673,14,-776101.8895497083,1883849.1941334663,2014-01-12
37.992740068886704,40.63179312245224,40.625,2.632259931113296,0.4129483912893284,15,-777294.701001032,1914813.6974888996,2014-01-12
37.69585062715116,54.52434972675029,40,2.3041493728488405,0.3120436739886389,16,-778227.8431800838,1895869.60847037,2014-01-12
37.89413196090787,54.85045568360955,41.44642857142857,3.552296610520699,0.4796440942619991,17,-790619.917837357,1874310.33120362,2014-01-12
37.94681682504907,54.85045568360955,39.839285714285715,1.8924688892366461,0.2555280782602975,18,-1005883.2529688226,1645660.3219945722,2014-01-12
38.142921597130204,54.85045568360955,33.85714285714286,-4.285778739987343,-0.5786815368571494,19,-1020759.4576988224,1628612.7672778761,2014-01-12
38.096090606782475,54.85045568360955,35.28571428571429,-2.8103763210681834,-0.3794673004111922,20,-1042334.2668231912,1627432.094682159,2014-01-12
37.762419800554866,54.85045568360955,45.464285714285715,7.701865913730849,1.0399341342662556,21,-803294.799693646,1958516.4122299065,2014-01-12
33.589081492079565,35.924007483051554,39.16071428571429,5.571632793634727,0.9295871181566232,22,-765978.1801491657,1990226.87394782,2014-01-12
38.74083382207623,35.924007483051554,30.392857142857142,-8.34797667921909,-1.3928002564238486,23,-760942.944941548,1988046.6119989983,2014-01-12
38.10545680485202,54.85045568360955,35,-3.105456804852018,-0.41931014770038405,24,-1051705.138544424,1857777.425674264,2014-01-12
37.96320767167078,54.85045568360955,39.339285714285715,1.3760780426149353,0.18580309550421178,25,-996545.4002637125,2006199.6467585498,2014-01-12
38.23424202830829,54.85045568360955,31.071428571428573,-7.162813456879714,-0.9671492979267674,26,-1101719.1637183726,1663080.6120445235,2014-01-12
37.843203258904715,54.85045568360955,43,5.156796741095285,0.6962895763969775,27,-1095084.888459171,1645056.3375918753,2014-01-12
37.7489558908299,54.85045568360955,45.875,8.126044109170103,1.0972082272444676,28,-830739.2282798057,1864320.9363890954,2014-01-12
37.83617861035255,54.85045568360955,43.214285714285715,5.378107103933168,0.7261717118638723,29,-999429.8727551481,1953713.654967435,2014-01-12
37.888863474493746,54.85045568360955,41.60714285714286,3.718279382649115,0.5020556958621707,30,-1075355.558845615,1969029.0688920591,2014-01-12
38.308586225485314,54.85045568360955,28.80357142857143,-9.505014796913883,-1.2834018982847248,31,-734369.6894832127,1964047.5038893716,2014-01-12
38.14233620975086,54.85045568360955,33.875,-4.267336209750859,-0.5761913589015757,32,-697629.6983510549,1990389.1931224791,2014-01-12
37.9890817938379,54.85045568360955,38.550000000000004,0.560918206162107,0.07573722986782142,33,-671525.4191347227,2006459.251839146,2014-01-12
40.69749108610949,37.062228175344316,40.92857142857143,0.23108034246194364,0.037957468453152884,1,-727824.887142112,1879308.9304132264,2014-01-26
42.32852658233806,32.191976893667544,43.42857142857143,1.1000448462333736,0.19388158748158144,2,-781017.184972822,1920175.685619658,2014-01-26
40.41067740026144,37.062228175344316,49.78571428571429,9.37503688545285,1.5399521354150936,3,-819135.0164491035,1882283.9491301454,2014-01-26
41.01437394869967,37.062228175344316,31.142857142857146,-9.871516805842525,-1.6215043813354428,4,-763239.9700491212,1898457.655627201,2014-01-26
40.685926018131745,37.062228175344316,41.285714285714285,0.5997882675825394,0.09852176954032704,5,-771363.9500667664,1871652.3524933874,2014-01-26
40.709056154087236,37.062228175344316,40.57142857142857,-0.13762758265866637,-0.02260683263402361,6,-755881.2539444161,1805331.5072019023,2014-01-26
40.65123081419851,37.062228175344316,42.35714285714286,1.7059120429443482,0.280214672801853,7,-764171.0228483846,1794258.958181908,2014-01-26
